"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Testing the SIGN UP PAGE for the Time Management System","sign up with all required fields randomly generated","0","0","15","0","0"
"","Testing the LOGIN PAGE for the Time Management System","log in with incomplete information","0","0","8","0","0"
"","Testing the TASK PAGE for the Time Management System","create a new task to validate the correct GREEN background color removing the register afterwards","1","0","8","4","0"
"","Testing the TASK PAGE for the Time Management System","exporting tasks and checking the report","0","0","5","0","0"
"","Testing the TASK PAGE for the Time Management System","check the filter by date functionality","1","0","6","1","0"
"","Testing the PROFILE PAGE for the Time Management System","check if the user was correct updated","0","0","3","0","0"
"","Testing the TASK PAGE for the Time Management System","create a new task to validate the correct RED background color removing the register afterwards","0","0","13","0","0"
"","Testing the LOGIN PAGE for the Time Management System","log in with fake credentials","0","0","8","0","0"
"","Testing the PROFILE PAGE for the Time Management System","updating a user profile through the profile page","0","0","4","0","0"
"","Testing the LOGIN PAGE for the Time Management System","the navbar cannot appear on the login page","1","0","2","0","0"
